ClientID,ClientName,RegionID,PhoneNumber,Email,created_at
1000,Mosciski and Sons,26,334.647.3192,Demarco83@hotmail.com,
1001,Morar - Russel,5,1-752-892-3068 x5768,Michale.Nicolas@gmail.com,
1002,Mraz - Pfeffer,28,258.561.6753 x4024,Elza.Ledner42@hotmail.com,
1003,"Effertz, Hermiston and West",16,1-687-969-5105 x6407,Anya89@hotmail.com,
1004,Vandervort Group,5,484-610-4687 x16996,Bertha.Daugherty60@yahoo.com,
1005,"Schowalter, Lockman and Schowalter",24,378.980.8028,Pat_Wiza@gmail.com,
1006,Stoltenberg - Lang,15,(815) 549-6844,Clay33@gmail.com,
1007,Hoppe - O'Connell,20,469-345-5947,Trisha_Leuschke98@yahoo.com,
1008,Mante LLC,12,629.621.3471 x534,Elias.Bode@gmail.com,
1009,Stoltenberg - Casper,12,547.480.0727 x327,Erik_Dare@hotmail.com,
1010,Collins - Waters,3,(368) 941-6930 x327,Emmet.Bergnaum52@yahoo.com,
1011,Glover Group,18,(932) 234-8614,Ilene.OKon52@gmail.com,
1012,Ortiz Inc,15,(792) 244-9692 x18736,Annette54@yahoo.com,
1013,Lubowitz - Gibson,30,1-313-859-4969 x029,Tamia.Oberbrunner93@hotmail.com,
1014,Cassin Inc,6,989.266.4939,Rahsaan38@hotmail.com,
1015,McClure - Labadie,6,299.406.2381,Lexie.Parker9@yahoo.com,
1016,Schneider - Smith,5,1-878-353-5259 x16737,Nikita.Kutch@hotmail.com,
1017,Lueilwitz - Ritchie,12,(274) 523-7194 x4950,Chelsie73@hotmail.com,
1018,Hahn - Conroy,30,(918) 483-3433,Jeanette31@yahoo.com,
1019,Miller - Vandervort,4,1-922-335-7695 x7442,Tracey.Jacobson@yahoo.com,
